time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-10-27T12:44:59.200Z,53.6309,-163.3135,12.69,4.9,mb,,169,1.229,1.32,us,us100072c6,2016-10-27T16:15:14.525Z,"135km S of False Pass, Alaska",earthquake,7.3,6.6,0.078,51,reviewed,us,us
2016-10-27T12:00:01.000Z,53.4149,-163.153,5.5,3.6,ml,,,,0.37,ak,ak14276455,2016-10-27T16:57:16.624Z,"160km S of False Pass, Alaska",earthquake,1.4,1.5,,,reviewed,ak,ak
2016-10-27T11:53:18.110Z,53.6236,-163.2767,17.22,5.8,mwp,,125,1.238,1.07,us,us100072bs,2016-10-27T18:57:06.000Z,"136km S of False Pass, Alaska",earthquake,6,4.2,,,reviewed,us,us
2016-10-27T11:03:26.000Z,63.2931,-151.8828,0,2.5,ml,,,,0.8,ak,ak14276231,2016-10-27T11:30:05.457Z,"140km NW of Talkeetna, Alaska",earthquake,0.2,0.2,,,automatic,ak,ak
2016-10-27T11:01:20.000Z,63.2981,-152.13,9.6,2.8,ml,,,,0.89,ak,ak14276221,2016-10-27T11:30:04.608Z,"149km NW of Talkeetna, Alaska",earthquake,0.3,0.3,,,automatic,ak,ak
2016-10-27T08:21:45.930Z,42.8379,13.0519,3.81,4.3,mwr,,85,0.046,0.72,us,us100072aj,2016-10-27T08:47:35.040Z,"6km NW of Norcia, Italy",earthquake,4.4,6,0.047,44,reviewed,us,us
2016-10-27T08:17:49.660Z,1.3287,125.7931,56.14,5.8,mwb,,33,1.667,1.12,us,us100072ai,2016-10-27T15:12:39.000Z,"69km E of Bitung, Indonesia",earthquake,6.3,5.1,0.045,47,reviewed,us,us
2016-10-27T08:02:21.100Z,32.8856,-100.9022,4.07,2.9,mb_lg,,51,1.092,0.73,us,us100072ah,2016-10-27T22:31:14.311Z,"18km N of Snyder, Texas",earthquake,3.6,7.2,0.059,74,reviewed,us,us
2016-10-27T06:48:32.660Z,44.5057,146.91,123.14,4.6,mb,,134,3.702,0.72,us,us100072ad,2016-10-27T07:17:27.040Z,"79km N of Shikotan, Russia",earthquake,9.4,7,0.048,130,reviewed,us,us
2016-10-27T06:44:12.100Z,19.0687,-64.8779,9,3,Md,8,288,0.69439771,0.3,pr,pr16301003,2016-10-27T08:52:27.994Z,"77km NNW of Road Town, British Virgin Islands",earthquake,6.7,9.3,0,7,reviewed,pr,pr
2016-10-27T06:37:23.630Z,40.3461667,-124.5465,23.97,4.11,mw,37,233,0.199,0.17,nc,nc72716540,2016-10-28T14:05:15.079Z,"31km SW of Ferndale, California",earthquake,0.6,0.48,,4,reviewed,nc,nc
2016-10-27T06:08:39.160Z,35.663,-97.1604,8.59,3.2,mb_lg,,64,0.026,0.42,us,us100072aa,2016-10-27T21:22:44.204Z,"3km E of Luther, Oklahoma",earthquake,0.9,2.7,0.053,93,reviewed,us,us
2016-10-27T04:45:53.180Z,-1.08,-80.2751,40.08,4.5,mb,,97,1.464,1.22,us,us100072gt,2016-10-27T22:36:16.910Z,"17km SSW of Junin, Ecuador",earthquake,7,9.8,0.118,21,reviewed,us,us
2016-10-27T04:23:51.780Z,13.2518,-89.5516,58.69,4.1,mb,,174,0.532,0.78,us,us100072h4,2016-10-28T01:46:17.066Z,"36km SW of La Libertad, El Salvador",earthquake,6.9,11,0.158,11,reviewed,us,us
2016-10-27T04:03:50.000Z,18.7798,-67.5678,5,2.7,Md,6,316.8,0.53180265,0.25,pr,pr16301002,2016-10-27T08:26:39.452Z,"58km NW of Aguadilla, Puerto Rico",earthquake,2.4,2.5,0,4,reviewed,pr,pr
